name,dob,tel
Brian Odongo,1981-12-20,+256311867825
Ruth Byaruhanga,1967-10-19,+256742341057
Caroline Nalwoga,1968-05-28,+256397078673
Charles Nabunya,1962-05-19,+256743903402
Patience Kirabo,1997-08-20,+256793335942
Hellen Odongo,1960-07-31,+256747536477
Rachel Odongo,1973-12-12,+256727090293
Grace Achieng,1994-01-31,+256745647119
Babirye Bbosa,1983-09-24,+256716022674
Emmanuel Tumusiime,1993-12-16,+256707707870
Nancy Adoch,1992-06-11,+256719261704
Patience Ssebunya,1964-02-10,+256393226067
Tasha Kigozi,1967-02-27,+256313823498
Sarah Odongo,2000-09-04,+256741694522
Joan Nalubega,1991-11-15,+256316120868
Oliver Ocen,1966-05-28,+256744479144
Emmanuel Mukasa,1974-08-29,+256392871230
Moses Adoch,1979-09-14,+256786366205
Nakato Nakato,1980-07-19,+256315440561
Simon Odongo,1965-12-08,+256705292423
Kato Kintu,1988-03-25,+256749515702
Simon Kirabo,2001-03-01,+256748375710
Irene Mukasa,1983-07-28,+256724443951
Namukasa Okumu,1995-10-31,+256397187926
Irene Nabirye,2004-04-10,+256763679591
Wasswa Tumusiime,1973-09-17,+256710790481
Apio Ocen,1997-11-15,+256312684052
Sarah Kyeyune,2001-12-28,+256391065818
Faith Okello,1970-04-11,+256794218028
Samuel Odongo,1990-07-08,+256319008867
Timothy Kato,2000-09-14,+256714924115
Charles Nabukeera,2005-07-18,+256704418934
Nakato Adoch,2005-07-18,+256715007072
James Nalubega,1974-06-29,+256393337174
Nabukeera Okello,1989-01-29,+256798897858
Hassan Nalubega,1987-08-03,+256780326765
Mark Nalugo,1967-01-24,+256740971823
Akello Ssebunya,1971-04-13,+256718153566
Nalubega Muwonge,1974-10-24,+256727973915
Wasswa Nabunya,1997-12-17,+256758852897
Samuel Nalubowa,1978-01-17,+256749047886
Michael Kirabo,1993-07-02,+256756693979
Victoria Tumusiime,1982-03-29,+256788683481
Rachel Nalwoga,1980-08-23,+256741074176
Amina Ssebunya,1965-04-13,+256393694634
Namukasa Mugisha,1989-08-23,+256741130789
Mark Odongo,2003-07-20,+256718626108
Irene Nalugo,2002-05-28,+256749046844
Okello Nankya,1977-01-30,+256747935169
Michael Kizza,1991-10-14,+256711626229
Winnie Nakato,1968-10-29,+256776897151
Richard Asiimwe,1969-10-20,+256706754864
Julie Atim,2000-03-31,+256743214348
Joseph Odongo,2001-07-03,+256727077999
Victoria Muwonge,1968-10-13,+256741264748
Nakato Okello,1968-05-14,+256709069560
Susan Okot,2003-03-09,+256742790237
Namukasa Nakato,1974-10-08,+256746728339
Sarah Nambi,2000-10-26,+256770036161
Oliver Muwonge,2003-08-30,+256757096887
Nancy Akello,1965-03-31,+256723185957
David Otim,1965-02-16,+256399096526
Andrew Nabirye,1974-02-14,+256709800873
Francis Nabukeera,1966-02-23,+256708519948
Naomi Mukasa,1996-03-22,+256391140194
Mark Okumu,1963-07-26,+256719557567
Susan Nankunda,2006-11-25,+256391375453
Kevin Nankunda,1988-03-09,+256764374922
Simon Namukasa,1986-11-30,+256744456272
Mugisha Ssebunya,1960-11-01,+256785304573
Grace Ssebunya,1979-02-14,+256789445465
Irene Bbosa,1966-03-04,+256794449324
Nancy Kato,1999-04-24,+256746199635
Joyce Kirabo,1960-09-13,+256795075395
Paul Nankunda,1969-04-17,+256319304682
Hassan Byaruhanga,1973-12-11,+256724437001
Isaac Akello,1990-10-05,+256754727085
Charles Okot,1982-07-12,+256744428914
Kenneth Kizza,1984-10-27,+256701548511
Rachel Namukasa,1983-07-02,+256700059486
Faith Kintu,1998-05-15,+256727412769
Hassan Ssebunya,1973-05-16,+256790162230
Nakato Nalubega,1973-04-14,+256790604451
Caroline Namutebi,1992-09-17,+256772138181
Kevin Ocen,1982-05-21,+256706003042
Rebecca Muwonge,1996-06-16,+256311724590
Mugisha Mukasa,1974-07-30,+256392592974
Brian Nabukeera,1989-10-20,+256726917152
Moses Kato,1969-09-12,+256774163555
Babirye Nalukenge,1979-12-15,+256770649691
Rebecca Namutebi,1980-06-01,+256747722606
Michael Wanyama,1995-09-30,+256740397023
Wasswa Ssebunya,1985-01-15,+256764674183
Simon Ocen,1989-09-16,+256768546409
Kato Nambi,1976-01-08,+256701935113
Caroline Byaruhanga,1998-12-26,+256394453786
